Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.10325282243514534,0.6123541225362934,0.9689999979725442,LUAD,FAT3
A2M,-0.3927115018469758,0.0810138579259481,0.9339040969774884,LUAD,FAT3
AAAS,-0.03562727753506395,0.8657501273921498,0.9923580234670843,LUAD,FAT3
AACS,0.00044434886491329095,0.9519825632496586,0.9977984422845053,LUAD,FAT3
AADAC,-0.4015526092967809,0.015681944165233164,0.8297171331153208,LUAD,FAT3
AAED1,0.1572600583064872,0.7338249425330878,0.97742797287226,LUAD,FAT3
AAGAB,0.20574141073687213,0.12918020983184827,0.9339040969774884,LUAD,FAT3
AAMDC,-0.2474739837407085,0.1419405942523727,0.9339040969774884,LUAD,FAT3
AAMP,-0.7236088719452455,0.0038335923043766877,0.4773858524977186,LUAD,FAT3
AAR2,-0.15292506026932456,0.5119541431198824,0.9571553212451263,LUAD,FAT3
AARS,-0.004896592797195454,0.868024475352766,0.9923580234670843,LUAD,FAT3
AARS2,0.19966214150359995,0.23079679525998498,0.9339040969774884,LUAD,FAT3
AARSD1,-0.054587317677515235,0.602005235347256,0.9689999979725442,LUAD,FAT3
AASDHPPT,-0.3069155472907193,0.023495444093656916,0.8638742920579294,LUAD,FAT3
AASS,-0.007775764576912869,0.9540997072430518,0.9977984422845053,LUAD,FAT3
AATF,-0.04593314850593444,0.8013734025497099,0.9864621833416479,LUAD,FAT3
ABAT,0.015648357191719642,0.8750640525975528,0.9923580234670843,LUAD,FAT3
ABCA1,-0.2865797476271676,0.11451273371393125,0.9339040969774884,LUAD,FAT3
ABCA12,0.5286577011997983,0.07179137850682132,0.9339040969774884,LUAD,FAT3
ABCA13,-0.12489731626010894,0.6084343348926813,0.9689999979725442,LUAD,FAT3
ABCA2,-0.2595873551542646,0.3425367075965915,0.9369942126132177,LUAD,FAT3
ABCA3,0.09250238617218287,0.511550459921531,0.9571553212451263,LUAD,FAT3
ABCA6,0.2603250959064428,0.2183614874655634,0.9339040969774884,LUAD,FAT3
ABCA7,-0.012902067262306777,0.9912763602280583,0.999710671666128,LUAD,FAT3
ABCA8,0.235335891966176,0.1939447316998295,0.9339040969774884,LUAD,FAT3
ABCB1,0.2180127687404657,0.3116732805622423,0.9368220674193105,LUAD,FAT3
ABCB10,0.03572303769878349,0.7900376758048742,0.9844409214577509,LUAD,FAT3
ABCB6,0.12467556140924951,0.3537166233980352,0.9374651502574971,LUAD,FAT3
ABCB7,-0.1437894772461945,0.3242409449464183,0.9369942126132177,LUAD,FAT3
ABCB8,0.1105546651812026,0.4975543173829068,0.9571553212451263,LUAD,FAT3
ABCC1,0.27466899581739707,0.30888956639477183,0.9368220674193105,LUAD,FAT3
ABCC10,0.2322116002949829,0.44742441754477014,0.9508745419138682,LUAD,FAT3
ABCC3,-0.06882816721700469,0.33283311903598,0.9369942126132177,LUAD,FAT3
ABCC4,-0.04158491993104829,0.43833303168590143,0.9503941305488031,LUAD,FAT3
ABCC5,-0.028075135503387694,0.9425397119351575,0.9963758423216628,LUAD,FAT3
ABCC6,-0.12861251036334453,0.3718777960514059,0.9433634951933627,LUAD,FAT3
ABCD1,-0.0834381622938919,0.5451270669511707,0.960343647222279,LUAD,FAT3
ABCD3,0.17079890268841058,0.28871878320092037,0.9368220674193105,LUAD,FAT3
ABCD4,-0.07578850324024822,0.7026865941307332,0.9742737541810887,LUAD,FAT3
ABCE1,0.05172593165357697,0.7173635966973169,0.9770652820988229,LUAD,FAT3
ABCF1,-0.014459218348730651,0.922629099074153,0.9944595536835334,LUAD,FAT3
ABCF2,-0.08862030055669767,0.41625859870813586,0.9503941305488031,LUAD,FAT3
ABCF3,-0.14551135559097406,0.4084336241430472,0.9502502917717276,LUAD,FAT3
ABCG1,0.13043918880259864,0.5223477344821148,0.9571553212451263,LUAD,FAT3
ABHD10,-0.15597270463653928,0.31087069179206095,0.9368220674193105,LUAD,FAT3
ABHD11,0.05302788349079024,0.5332063423173332,0.9576408902882849,LUAD,FAT3
ABHD12,0.14432149342171924,0.4862123532082515,0.9571553212451263,LUAD,FAT3
ABHD13,-0.18990692090679162,0.4351226524364664,0.9503941305488031,LUAD,FAT3
ABHD14B,0.019620469606867807,0.8552096472386526,0.9922003640676583,LUAD,FAT3
ABHD16A,0.23993619052262283,0.2796416321584443,0.9368220674193105,LUAD,FAT3
ABHD17A,0.16205429655511117,0.5497618497272466,0.9607539247556567,LUAD,FAT3
ABHD17B,-0.10540561032372325,0.6192418362119786,0.9689999979725442,LUAD,FAT3
ABHD17C,0.021501041537711707,0.7844639263035122,0.9840505146864776,LUAD,FAT3
ABHD3,0.5820918623961336,0.14241793000318884,0.9339040969774884,LUAD,FAT3
ABHD4,-0.0008456660628597401,0.9485356179574599,0.9977984422845053,LUAD,FAT3
ABHD5,-0.0799611878450549,0.6629004109241698,0.9706032346047639,LUAD,FAT3
ABHD6,-0.0902678234881008,0.6447686186975504,0.9689999979725442,LUAD,FAT3
ABI1,-0.2993331119008905,0.23491330351969097,0.9339040969774884,LUAD,FAT3
ABI2,0.10076800653979479,0.5697085530129753,0.964346252910017,LUAD,FAT3
ABI3,0.17127928383138014,0.07168014742209841,0.9339040969774884,LUAD,FAT3
ABI3BP,0.18664954334588757,0.2717279911771082,0.9368220674193105,LUAD,FAT3
ABL2,-0.24666325452690796,0.1416180046868021,0.9339040969774884,LUAD,FAT3
ABLIM1,-0.11348098140065677,0.1949504214792781,0.9339040969774884,LUAD,FAT3
ABLIM2,-0.03464384364958539,0.8165423302659738,0.9890190297640471,LUAD,FAT3
ABLIM3,-0.05077552917853562,0.7612237544935511,0.9814354055580742,LUAD,FAT3
ABR,0.013804651670932977,0.9563498238087087,0.9977984422845053,LUAD,FAT3
ABRACL,0.10925861408322257,0.44113387318997777,0.9505474647628782,LUAD,FAT3
ABT1,-0.07515409473589368,0.7262983396691712,0.9770652820988229,LUAD,FAT3
ABTB1,0.2994558491375608,0.16784871806349244,0.9339040969774884,LUAD,FAT3
ABTB2,0.09696138829730816,0.7953333384176956,0.9849491294100357,LUAD,FAT3
ACAA1,-0.1065138510884559,0.628551950260493,0.9689999979725442,LUAD,FAT3
ACAA2,-0.23719546692276927,0.05975451155017627,0.9339040969774884,LUAD,FAT3
ACACA,0.1932610275423181,0.11228625654676445,0.9339040969774884,LUAD,FAT3
ACAD10,-0.07298941338512738,0.5275637891176932,0.9575680077833922,LUAD,FAT3
ACAD11,0.35361554715267046,0.10772964192955987,0.9339040969774884,LUAD,FAT3
ACAD8,0.09142800628894587,0.2862777472332154,0.9368220674193105,LUAD,FAT3
ACAD9,0.06550337133921558,0.7060455532135719,0.9747665472598822,LUAD,FAT3
ACADL,-0.15474966719703726,0.48650123891312924,0.9571553212451263,LUAD,FAT3
ACADM,-0.27249336851025024,0.14089668646279666,0.9339040969774884,LUAD,FAT3
ACADS,-0.6003896640383357,0.0006915405394161102,0.30610076235995787,LUAD,FAT3
ACADSB,0.010897881707312651,0.8939284557074133,0.9923580234670843,LUAD,FAT3
ACADVL,0.002961742518095556,0.9460565829284384,0.9977984422845053,LUAD,FAT3
ACAN,0.013444850089812665,0.9115362854841378,0.9923701841370077,LUAD,FAT3
ACAP1,0.19066243919634207,0.09459001916046267,0.9339040969774884,LUAD,FAT3
ACAP2,0.18846279951942269,0.15662117788576832,0.9339040969774884,LUAD,FAT3
ACAP3,0.48329968954725183,0.03988602918563617,0.9287191552534348,LUAD,FAT3
ACAT1,-0.19630011077779352,0.043984812994179154,0.9339040969774884,LUAD,FAT3
ACAT2,0.17181456301901188,0.10102805010252512,0.9339040969774884,LUAD,FAT3
ACBD3,0.09641910211309435,0.5224681902240657,0.9571553212451263,LUAD,FAT3
ACBD5,0.10053331089930218,0.4583210402407084,0.9514828019432188,LUAD,FAT3
ACBD6,-0.19942128043562063,0.2992079105429628,0.9368220674193105,LUAD,FAT3
ACD,-0.4806653566533939,0.08448701466546088,0.9339040969774884,LUAD,FAT3
ACE,-0.07025349631963929,0.6299276544721157,0.9689999979725442,LUAD,FAT3
ACHE,0.4724684018823812,0.053979909243926254,0.9339040969774884,LUAD,FAT3
ACIN1,0.22232657968647412,0.2233367646267157,0.9339040969774884,LUAD,FAT3
ACLY,-0.13500956161290173,0.3782456027959178,0.9433634951933627,LUAD,FAT3
ACO1,0.044152986566829644,0.5054993832176835,0.9571553212451263,LUAD,FAT3
ACO2,0.14544243610173035,0.45691322391583356,0.9508745419138682,LUAD,FAT3
ACOT1,-0.10571593865786988,0.46103132090410914,0.9515247627944275,LUAD,FAT3
ACOT11,-0.0684885058266107,0.7067273459800563,0.9747665472598822,LUAD,FAT3
ACOT13,-0.12579135692469018,0.46100958398713243,0.9515247627944275,LUAD,FAT3
ACOT2,-0.0346441101396614,0.9250734699359927,0.9946366674124693,LUAD,FAT3
ACOT4,-0.20249652158887088,0.3100615277353861,0.9368220674193105,LUAD,FAT3
ACOT7,0.04326082358339556,0.5457301090636332,0.9606309369668347,LUAD,FAT3
ACOT8,-0.34015560454667493,0.1387398997720717,0.9339040969774884,LUAD,FAT3
ACOT9,0.01645587375498836,0.9313714932478827,0.9952976627105721,LUAD,FAT3
ACOX1,0.19861751561731877,0.29937513515097036,0.9368220674193105,LUAD,FAT3
ACOX2,-0.08756461497413898,0.5472931059041541,0.9607539247556567,LUAD,FAT3
ACOX3,0.046234246894192865,0.7528675872257298,0.9798952908640441,LUAD,FAT3
ACP1,-0.3548939148831606,0.021655604882342333,0.8570806103068158,LUAD,FAT3
ACP2,0.06879596266400112,0.6253937512065907,0.9689999979725442,LUAD,FAT3
ACP5,0.05841900034257547,0.7597995753523603,0.9814354055580742,LUAD,FAT3
ACP6,0.03144373112600618,0.7238745872432156,0.9770652820988229,LUAD,FAT3
ACPP,0.026996540402343783,0.7564134623132259,0.9806404164451727,LUAD,FAT3
ACSF2,0.016128126396642073,0.8522254321233353,0.9922003640676583,LUAD,FAT3
ACSF3,0.16354305294471938,0.37639082285202263,0.9433634951933627,LUAD,FAT3
ACSL1,0.024612283004527225,0.8231203818669328,0.9894958840956848,LUAD,FAT3
ACSL3,-0.025122071139879742,0.8771222940887781,0.9923580234670843,LUAD,FAT3
ACSL4,-0.06276670592227174,0.5202236574960092,0.9571553212451263,LUAD,FAT3
ACSL5,-0.12307378459773721,0.14547886180545877,0.9339040969774884,LUAD,FAT3
ACSM3,-0.012179214364641644,0.907092345670638,0.9923580234670843,LUAD,FAT3
ACSS1,0.024400780103997266,0.7973386250175405,0.9853926953639267,LUAD,FAT3
ACSS2,-0.04708358073447039,0.3598584811305692,0.9383406631630432,LUAD,FAT3
ACSS3,-0.19862184054514187,0.026378309428278842,0.8822228938016305,LUAD,FAT3
ACTA2,-0.23282962818009567,0.2076602118839972,0.9339040969774884,LUAD,FAT3
ACTB,0.09388756836411016,0.5923484412133229,0.9689999979725442,LUAD,FAT3
ACTBL2,0.1501657404407004,0.4774081891703843,0.9567548382180692,LUAD,FAT3
ACTG1,0.03543722595173007,0.8425825471622639,0.990839931198636,LUAD,FAT3
ACTG2,-0.015928253411740867,0.8386382744109593,0.990632221598358,LUAD,FAT3
ACTN1,0.15647676697859964,0.2540119889241754,0.9362881911745107,LUAD,FAT3
ACTN2,-0.34059092707294547,0.14842151593680566,0.9339040969774884,LUAD,FAT3
ACTN3,0.15171105571181845,0.4960141367040345,0.9571553212451263,LUAD,FAT3
ACTN4,-0.15009449769770888,0.3096294155779955,0.9368220674193105,LUAD,FAT3
ACTR10,0.26080205425760566,0.35172666423641497,0.9374651502574971,LUAD,FAT3
ACTR1A,0.19430400471922826,0.211787638420327,0.9339040969774884,LUAD,FAT3
ACTR1B,-0.5526860235158779,0.0015932285782935813,0.34503701641089046,LUAD,FAT3
ACTR2,0.30671974358254983,0.21757819844464454,0.9339040969774884,LUAD,FAT3
ACTR3B,-0.04203218292537264,0.8217199493583495,0.9890190297640471,LUAD,FAT3
ACTR5,0.17825148943665198,0.41418287403133125,0.9502502917717276,LUAD,FAT3
ACTR6,-0.18923079187625297,0.3859873276094393,0.9445266856459562,LUAD,FAT3
ACTR8,0.001084414562631919,0.9705956417930289,0.9978670115961791,LUAD,FAT3
ACVR1,-0.19729117586140443,0.2159801363859971,0.9339040969774884,LUAD,FAT3
ACVRL1,-0.27797428258393764,0.34331400779870913,0.9369942126132177,LUAD,FAT3
ACY1,-0.24879312220690208,0.012040945760995172,0.7630989792870477,LUAD,FAT3
ACYP1,0.24792920726905987,0.21331062241899246,0.9339040969774884,LUAD,FAT3
ACYP2,0.10009899255475124,0.5905881486528383,0.9689999979725442,LUAD,FAT3
ADA,0.01128922892028128,0.821910768305271,0.9890190297640471,LUAD,FAT3
ADAL,-0.1779064949013519,0.31261442434959286,0.9368220674193105,LUAD,FAT3
ADAM10,-0.5022747941287926,0.0010677710210133136,0.30610076235995787,LUAD,FAT3
ADAM15,-0.08540629950349554,0.5792327542731646,0.9681476427892188,LUAD,FAT3
ADAM17,-0.017450317676890315,0.9588614728218204,0.9978670115961791,LUAD,FAT3
ADAM28,0.2732159564099764,0.1927153582819786,0.9339040969774884,LUAD,FAT3
ADAM8,0.1514715558060894,0.3302250722867235,0.9369942126132177,LUAD,FAT3
ADAM9,-0.02711311360001778,0.8355042208305258,0.990632221598358,LUAD,FAT3
ADAMTS1,-0.09131466350110023,0.8030374516422707,0.9868754660838481,LUAD,FAT3
ADAMTS12,-0.07752041403485166,0.5144202562426032,0.9571553212451263,LUAD,FAT3
ADAMTS16,-0.4802019425802121,0.1453093508268774,0.9339040969774884,LUAD,FAT3
ADAMTS2,-0.0525212274394139,0.7697113497675576,0.9831495566433097,LUAD,FAT3
ADAMTS4,-0.3441625464378251,0.10416741660351175,0.9339040969774884,LUAD,FAT3
ADAMTS5,0.005976524525255433,0.9153008506976199,0.993507282231471,LUAD,FAT3
ADAMTS7,-0.515722223398539,0.022296646119662738,0.8570806103068158,LUAD,FAT3
ADAMTSL1,-0.14978867594959921,0.5059294491358524,0.9571553212451263,LUAD,FAT3
ADAMTSL2,-0.3171873819800476,0.0026172564060814507,0.38900028680710597,LUAD,FAT3
ADAMTSL3,-0.06037937268580956,0.6994727489949648,0.9733380341790296,LUAD,FAT3
ADAMTSL4,-0.06507742543131317,0.7263665736677594,0.9770652820988229,LUAD,FAT3
ADAMTSL5,-0.20480874272258465,0.3972989533096164,0.9478862045270219,LUAD,FAT3
ADAP1,-0.22790276780836682,0.1896133127043501,0.9339040969774884,LUAD,FAT3
ADAP2,0.11887814248563866,0.39402942156207255,0.9467521210044247,LUAD,FAT3
ADAR,-0.08317287727299205,0.15865463229146226,0.9339040969774884,LUAD,FAT3
ADARB1,0.008394691904477836,0.8858499352143983,0.9923580234670843,LUAD,FAT3
ADAT1,-0.05833938916344056,0.8118188046340573,0.9889992993768015,LUAD,FAT3
ADAT2,-0.15503032439164266,0.5562109839472422,0.9621630322263789,LUAD,FAT3
ADAT3,-0.028985449032197574,0.8740745575969797,0.9923580234670843,LUAD,FAT3
ADCK1,-0.0675495884038359,0.7554644056120894,0.9806404164451727,LUAD,FAT3
ADCY5,0.06697108572690996,0.7872405896432285,0.9844409214577509,LUAD,FAT3
ADCY6,0.03023748760449732,0.9567990945868806,0.9977984422845053,LUAD,FAT3
ADCY7,0.23838168523336348,0.35095332549484115,0.9374651502574971,LUAD,FAT3
ADCY9,-0.03610798093468348,0.744677426142307,0.9789401197325505,LUAD,FAT3
ADD1,-0.2116824460107982,0.1605385908129936,0.9339040969774884,LUAD,FAT3
ADD2,0.1538058077021075,0.5045422717148441,0.9571553212451263,LUAD,FAT3
ADD3,0.08184566036686797,0.5973740157471132,0.9689999979725442,LUAD,FAT3
ADGRA2,0.22217746831377466,0.4007693246808164,0.9478862045270219,LUAD,FAT3
ADGRE2,0.19159275299307887,0.15274137127157134,0.9339040969774884,LUAD,FAT3
ADGRE3,0.19094726407042295,0.29655824662014674,0.9368220674193105,LUAD,FAT3
ADGRE5,0.21931537261821343,0.03156929489962819,0.885956101774627,LUAD,FAT3
ADGRF1,0.017363971111044152,0.8629772857365507,0.9923580234670843,LUAD,FAT3
ADGRF5,0.013906217404116017,0.847724581396641,0.990839931198636,LUAD,FAT3
ADGRG1,0.01082644697769064,0.9149863529430169,0.9933552359059732,LUAD,FAT3
ADGRG6,0.040665317635545484,0.7158104144571962,0.9770652820988229,LUAD,FAT3
ADGRL2,-0.3456899610760797,0.01624422242804744,0.8356858859807966,LUAD,FAT3
ADGRL4,-0.38724428254341686,0.12786969282358196,0.9339040969774884,LUAD,FAT3
ADH1B,-0.09844243049535517,0.39467217214396844,0.9467521210044247,LUAD,FAT3
ADH1C,-0.19982583763852207,0.33782037777530405,0.9369942126132177,LUAD,FAT3
ADH4,0.2552955499318762,0.27335945130112316,0.9368220674193105,LUAD,FAT3
ADH5,-0.010286011309919574,0.9947982493882038,0.999710671666128,LUAD,FAT3
ADH7,-0.1364001741603691,0.40735969123878135,0.9502502917717276,LUAD,FAT3
ADHFE1,-0.07225803577655465,0.6207052919695922,0.9689999979725442,LUAD,FAT3
ADI1,0.16668269258753193,0.3926375858896206,0.9467521210044247,LUAD,FAT3
ADIPOR1,-0.11725020174176604,0.6866004012506837,0.9726637287323163,LUAD,FAT3
ADIRF,-0.015166247996226345,0.9087299734268153,0.9923580234670843,LUAD,FAT3
ADK,-0.06024297703680437,0.4326175083613003,0.9503941305488031,LUAD,FAT3
ADNP,-0.0007568902444070602,0.9470221656915053,0.9977984422845053,LUAD,FAT3
ADNP2,-0.09489032278055573,0.5982676268406277,0.9689999979725442,LUAD,FAT3
ADO,0.05175014867124972,0.7111698947834671,0.9760469004962837,LUAD,FAT3
ADPGK,0.128441062751661,0.3331057769110224,0.9369942126132177,LUAD,FAT3
ADPRH,0.10936198518226814,0.17612339036351954,0.9339040969774884,LUAD,FAT3
ADPRHL2,-0.2559572372388245,0.17710413100252698,0.9339040969774884,LUAD,FAT3
ADRM1,-0.06572390163904962,0.9958571618890866,0.999710671666128,LUAD,FAT3
ADSL,0.10619528843839066,0.23091843774995058,0.9339040969774884,LUAD,FAT3
ADSS,0.1491026368469559,0.26793095194680194,0.9368220674193105,LUAD,FAT3
ADSSL1,7.702581795232533e-05,0.9933801617928216,0.999710671666128,LUAD,FAT3
AEBP1,-0.14358702820103492,0.24763383605409406,0.935548767483207,LUAD,FAT3
AES,0.08300106543003172,0.6653952903957903,0.9706032346047639,LUAD,FAT3
AFAP1,-0.18113638067522841,0.28291200118292803,0.9368220674193105,LUAD,FAT3
AFAP1L1,-0.27710727265246765,0.021257818764986794,0.8570806103068158,LUAD,FAT3
AFAP1L2,0.05682862907166131,0.39084348957334314,0.9454773317151175,LUAD,FAT3
AFDN,0.1361125756712509,0.3051542251309999,0.9368220674193105,LUAD,FAT3
AFF1,0.17560504139408187,0.5490730468248919,0.9607539247556567,LUAD,FAT3
AFF2,-0.24781981337397152,0.33155473246867495,0.9369942126132177,LUAD,FAT3
AFF3,-0.09510866340462511,0.723215930064843,0.9770652820988229,LUAD,FAT3
AFF4,0.32373152448194786,0.11133521541091661,0.9339040969774884,LUAD,FAT3
AFG3L2,0.05370218027560281,0.692856354001798,0.9728281734155979,LUAD,FAT3
AFMID,0.2703947040949633,0.12961068117210442,0.9339040969774884,LUAD,FAT3
AGA,0.01642153211124997,0.8834491018948136,0.9923580234670843,LUAD,FAT3
AGAP1,0.11446025900113277,0.45643853880866336,0.9508745419138682,LUAD,FAT3
AGAP2,0.09982762898974296,0.4231890072966932,0.9503941305488031,LUAD,FAT3
AGAP3,0.06128645761383,0.6755209571402682,0.9715819603632856,LUAD,FAT3
AGER,-0.49828482731147394,0.000728823864063909,0.30610076235995787,LUAD,FAT3
AGFG1,0.04808880651132752,0.7050043859087588,0.9747665472598822,LUAD,FAT3
AGFG2,-0.09661486485155768,0.39058067606265423,0.9454451347813682,LUAD,FAT3
AGGF1,-0.19085017536865254,0.4501428946234768,0.9508745419138682,LUAD,FAT3
AGK,-0.07031132406719987,0.6789754041186541,0.9726637287323163,LUAD,FAT3
AGL,0.19055834663476545,0.25651651098056627,0.9365667277717531,LUAD,FAT3
AGO1,-0.046879216094291964,0.8402101240444743,0.990839931198636,LUAD,FAT3
AGO2,-0.2657956023769301,0.10000330217821853,0.9339040969774884,LUAD,FAT3
AGO3,0.04956056451056956,0.7788611446348728,0.983604149581296,LUAD,FAT3
AGO4,-0.07286116210339,0.7772129807859881,0.983604149581296,LUAD,FAT3
AGPAT1,0.17474990001398294,0.4490391594277289,0.9508745419138682,LUAD,FAT3
AGPAT2,0.12116131566661703,0.2950786787402685,0.9368220674193105,LUAD,FAT3
AGPAT3,-0.21817983718139483,0.31996679480316537,0.9369253870949464,LUAD,FAT3
AGPAT4,-0.11642756883240435,0.4493550409521895,0.9508745419138682,LUAD,FAT3
AGPAT5,-0.15013481017502894,0.28153726083653263,0.9368220674193105,LUAD,FAT3
AGPS,0.18229681916161233,0.24603198408454308,0.935548767483207,LUAD,FAT3
AGR2,-0.005987076630910471,0.7832420798507542,0.9838933313756475,LUAD,FAT3
AGR3,0.009142884242176907,0.9635414467255556,0.9978670115961791,LUAD,FAT3
AGRN,0.19172768831675419,0.2796890100813637,0.9368220674193105,LUAD,FAT3
AGT,0.030776500908066717,0.8679322101303606,0.9923580234670843,LUAD,FAT3
AGTPBP1,-0.01958626480448733,0.9553942968607577,0.9977984422845053,LUAD,FAT3
AGTRAP,0.06717913977366985,0.5876051200863657,0.9689999979725442,LUAD,FAT3
AHCY,0.0033453449359702736,0.8894836950799843,0.9923580234670843,LUAD,FAT3
AHCYL1,0.13858397798449795,0.1007248996164115,0.9339040969774884,LUAD,FAT3
AHCYL2,-0.09364621103365689,0.03187077769731274,0.885956101774627,LUAD,FAT3
AHDC1,0.12721155439913412,0.3701194247462569,0.9433634951933627,LUAD,FAT3
AHNAK,0.0007648558421453622,0.9691288445203441,0.9978670115961791,LUAD,FAT3
AHNAK2,-0.0365138449913639,0.49517644664159677,0.9571553212451263,LUAD,FAT3
AHR,0.0829626752295658,0.23495033479173144,0.9339040969774884,LUAD,FAT3
AHSA1,-0.03349959700747129,0.606376665796999,0.9689999979725442,LUAD,FAT3
AHSG,0.23661622650488362,0.32405550466132993,0.9369942126132177,LUAD,FAT3
AIDA,0.09679274775659719,0.4718871456293109,0.9563863963824425,LUAD,FAT3
AIF1,0.05674538565694509,0.31512920703907377,0.9368220674193105,LUAD,FAT3
AIF1L,0.032500557215723536,0.5381159360183163,0.9597302168477271,LUAD,FAT3
AIFM1,0.15917353538165402,0.12440319880123649,0.9339040969774884,LUAD,FAT3
AIFM2,0.025628889375530317,0.8537784086423503,0.9922003640676583,LUAD,FAT3
AIMP1,-0.1463044126151019,0.5661343568110568,0.9632643858877478,LUAD,FAT3
AIMP2,0.17093368669949147,0.29847915945298764,0.9368220674193105,LUAD,FAT3
AIP,-0.02510313037182943,0.8900347511681774,0.9923580234670843,LUAD,FAT3
AJUBA,-0.036584385651916906,0.7115662590921361,0.9760469004962837,LUAD,FAT3
AK1,0.033787353126515374,0.6331341380476256,0.9689999979725442,LUAD,FAT3
AK2,0.025776296724279613,0.8528868613711146,0.9922003640676583,LUAD,FAT3
AK3,-0.05040843280273666,0.7177620187570438,0.9770652820988229,LUAD,FAT3
AK4,0.01828031011267628,0.6744402755828781,0.9714706394128029,LUAD,FAT3
AK6,-0.12235665018626424,0.5438718586735511,0.9598179678801063,LUAD,FAT3
AK7,0.09201769000650539,0.6843478026731039,0.9726637287323163,LUAD,FAT3
AK9,0.042671288264953644,0.8085832866405773,0.9883433909161318,LUAD,FAT3
AKAP1,0.028255104799394193,0.6690121954076278,0.9706032346047639,LUAD,FAT3
AKAP10,0.0016793462747568544,0.9978663871931682,0.999710671666128,LUAD,FAT3
AKAP11,0.03173646411143877,0.9631625078608339,0.9978670115961791,LUAD,FAT3
AKAP12,-0.13485592163946492,0.2962627069293632,0.9368220674193105,LUAD,FAT3
AKAP13,0.09448428465033043,0.46828872253222353,0.9543983418554522,LUAD,FAT3
AKAP17A,0.12103923731925054,0.49698861515993253,0.9571553212451263,LUAD,FAT3
AKAP2,0.0904528791656816,0.7289438764621478,0.9770652820988229,LUAD,FAT3
AKAP5,0.12101975880085276,0.6822988788777831,0.9726637287323163,LUAD,FAT3
AKAP7,-0.07542480323829903,0.7847588397615447,0.9841529335730251,LUAD,FAT3
AKAP8,-0.18482381973008116,0.3481821640816344,0.9369942126132177,LUAD,FAT3
AKAP8L,0.05636171074392338,0.7081057913164355,0.9747665472598822,LUAD,FAT3
AKAP9,-0.11441310689638173,0.4642545301360256,0.9528074599562307,LUAD,FAT3
AKNA,0.2957023188356272,0.23503464497820392,0.9339040969774884,LUAD,FAT3
AKR1A1,-0.16135976552798587,0.30072266360699307,0.9368220674193105,LUAD,FAT3
AKR1B1,0.057472675422235664,0.4459597844776958,0.9508745419138682,LUAD,FAT3
AKR1B10,-0.09453611789819139,0.4530457926607635,0.9508745419138682,LUAD,FAT3
AKR1B15,0.2196559808014767,0.3492776013746487,0.9374651502574971,LUAD,FAT3
AKR1C1,-0.0040532168981749495,0.9377405748717653,0.9958760428260953,LUAD,FAT3
AKR1C2,0.03221804956994834,0.687890999795184,0.9728281734155979,LUAD,FAT3
AKR1C3,-0.014549887413309426,0.6798809528352717,0.9726637287323163,LUAD,FAT3
AKR1E2,-0.45293106802370703,0.09781870924531605,0.9339040969774884,LUAD,FAT3
AKR7A2,0.024466786233646842,0.8704793212104281,0.9923580234670843,LUAD,FAT3
AKR7A3,0.0354167147891703,0.47186046870189047,0.9563863963824425,LUAD,FAT3
AKT1,0.04723402904811258,0.7854935299812711,0.9841529335730251,LUAD,FAT3
AKT1S1,0.20731924350000117,0.382068737273651,0.9433634951933627,LUAD,FAT3
AKT2,-0.20705293113994466,0.42368147287583946,0.9503941305488031,LUAD,FAT3
AKT3,-0.23913626443321323,0.0943498984096652,0.9339040969774884,LUAD,FAT3
AKTIP,-0.012548255948969134,0.9260968645034168,0.9946366674124693,LUAD,FAT3
ALAD,-0.04611567876399514,0.8698472917999718,0.9923580234670843,LUAD,FAT3
ALAS1,-0.35727461613704165,0.1097727327133047,0.9339040969774884,LUAD,FAT3
ALB,0.19536807278887075,0.49526444909398215,0.9571553212451263,LUAD,FAT3
ALCAM,-0.062292790944794785,0.5198113094312335,0.9571553212451263,LUAD,FAT3
ALDH16A1,0.20334171074350582,0.28392294595730483,0.9368220674193105,LUAD,FAT3
ALDH18A1,0.050921086115041425,0.5655031463085386,0.9627030284931062,LUAD,FAT3
ALDH1A1,-0.09370506525882571,0.30557820900564614,0.9368220674193105,LUAD,FAT3
ALDH1A2,0.061954145485959455,0.44856347974170596,0.9508745419138682,LUAD,FAT3
ALDH1A3,-0.10260129778224025,0.20080881737061207,0.9339040969774884,LUAD,FAT3
ALDH1B1,-0.16467993673766684,0.5702646010259196,0.964346252910017,LUAD,FAT3
ALDH1L1,-0.3585146460290574,0.05931718352637898,0.9339040969774884,LUAD,FAT3
ALDH1L2,0.003416983106081406,0.9901428986351098,0.999710671666128,LUAD,FAT3
ALDH2,-0.0914188333281396,0.487911682262246,0.9571553212451263,LUAD,FAT3
ALDH3A1,-0.6881690193616715,0.00040208670752699897,0.24753206409385164,LUAD,FAT3
ALDH3A2,0.006606451334131069,0.8472800476883825,0.990839931198636,LUAD,FAT3
ALDH3B1,0.07500581378272486,0.6775321896747795,0.9726637287323163,LUAD,FAT3
ALDH4A1,-0.04196108573931934,0.7873300235739776,0.9844409214577509,LUAD,FAT3
ALDH5A1,0.01114415148036052,0.8132156328898489,0.9890190297640471,LUAD,FAT3
ALDH6A1,0.03844406410423673,0.49011593198116343,0.9571553212451263,LUAD,FAT3
